公司代碼,年月,單月營收,單月月增率,單月年增率,累計營收,累計年增率,盈餘,每股盈餘（元）
1101,202211,9674.6,-14.9,-0.8,100384.63,4.3,--,--
1101,202210,11368.1,9.3,18.9,90710.06,4.9,--,--
1101,202209,10404.9,-2.7,8.4,79274.33,3.1,2917.8,0.38
1101,202208,10689.9,5.8,19.3,68937.06,2.4,2917.8,0.38
1101,202207,10102.5,10.5,21.4,58247.2,-0.2,2917.8,0.38
1101,202206,9146.0,18.3,7.8,48151.29,-3.8,1408.2,0.16
1101,202205,7733.8,-7.0,-21.4,38998.74,-6.1,1408.2,0.16
1101,202204,8319.3,-16.6,-14.0,31264.96,-1.4,1408.2,0.16
1101,202203,9971.6,82.8,2.0,22973.46,4.3,1204.1,0.20
1101,202202,5456.1,-27.4,30.7,12973.96,5.8,1204.1,0.20
1101,202201,7517.9,-30.5,-7.0,7517.9,-7.0,1204.1,0.20
1101,202112,10821.3,11.0,7.1,107041.45,1.1,20256.4,3.30
1101,202111,9752.7,2.0,-1.5,96223.35,0.4,20256.4,3.30
1101,202110,9565.0,-0.3,1.0,86470.66,0.7,20256.4,3.30
1101,202109,9597.8,7.1,6.2,76904.8,0.6,14836.5,2.19
1101,202108,8964.5,7.8,-2.6,67307.81,-0.1,14836.5,2.19
1101,202107,8320.0,-1.9,-11.4,58343.34,0.3,14836.5,2.19
1101,202106,8480.8,-13.8,-8.7,50023.36,2.5,10852.1,1.65
1101,202105,9832.8,1.7,-0.4,41542.54,5.1,10852.1,1.65
1101,202104,9672.1,-1.1,-1.7,31709.78,7.0,10852.1,1.65
1101,202103,9779.7,115.6,12.8,22037.65,11.3,3319.0,0.57
1101,202102,4536.8,-47.2,-9.3,13133.11,5.0,3319.0,0.57
1101,202101,8596.3,-21.4,14.6,8596.26,14.6,3319.0,0.57
1101,202012,10933.0,0.4,-11.3,114367.25,-6.9,25099.3,4.32
1101,202011,10889.7,5.8,-6.8,103432.05,-6.4,25099.3,4.32
1101,202010,10293.9,5.6,-8.2,92542.39,-6.3,25099.3,4.32
1101,202009,9745.1,-1.4,-3.7,82248.49,-6.1,18407.2,3.15
1101,202008,9885.0,-2.9,-3.4,72503.35,-6.4,18407.2,3.15
1101,202007,10178.6,2.2,-3.0,62618.33,-6.8,18407.2,3.15
1101,202006,9961.3,-3.2,1.0,52439.83,-7.5,10934.6,1.85
1101,202005,10285.5,0.7,-5.7,42478.4,-9.3,10934.6,1.85
1101,202004,10216.8,7.9,-3.6,32192.88,-10.5,10934.6,1.85
1101,202003,9473.3,89.4,-12.9,21976.2,-13.3,2999.8,0.52
1101,202002,5000.7,-33.3,-1.7,12502.83,-13.7,2999.8,0.52
1101,202001,7502.1,-39.3,-20.1,7502.14,-20.1,2999.8,0.52
1101,201912,12349.9,5.8,8.3,122783.01,-1.4,24211.1,4.22
